Protein Virus,Protein Người,Protein Chung
,DHRS7B,SMYD4
,CNNM1,TTC14
,HID1,ERN1
,IGSF3,REEP3
,NIPAL4,TBC1D9B
,RHOC,SEC11A
,M6PR,TMCO4
,SLC35C2,AHCTF1
,GDE1,DHRS7B
,CYCS,CNNM1
,KCTD9,HID1
,CNNM2,IGSF3
,SLC47A1,NIPAL4
,DHX32,RHOC
,PCDHGB5,M6PR
,GPR107,SLC35C2
,RAB27A,GDE1
,HCN2,CYCS
,UBE2Z,KCTD9
,CA8,CNNM2
,VANGL1,SLC47A1
,GHDC,DHX32
,RNFT2,PCDHGB5
,SLC16A5,GPR107
,RAI1,RAB27A
,TCERG1,HCN2
,EBNA1BP2,UBE2Z
,TOPBP1,CA8
,PSIP1,VANGL1
,KIF18B,GHDC
,EME1,RNFT2
,SGOL2,SLC16A5
,CCDC71L,ORF14
,PDCD11,RAI1
,RBM34,TCERG1
,SETX,EBNA1BP2
,RRP1B,TOPBP1
,PHF8,PSIP1
,RRS1,KIF18B
,RRP12,EME1
,ZNF629,SGOL2
,ZMYND8,CCDC71L
,PPIL2,PDCD11
,UBN2,RBM34
,NIPBL,SETX
,C3orf17,RRP1B
,DCAF13,PHF8
,GNL3,RRS1
,ZBTB11,RRP12
,UTP20,ZNF629
,ATAD2,ZMYND8
,GNL2,PPIL2
,BAZ2B,UBN2
,TNPO2,NIPBL
,INCENP,C3orf17
,RBM12B,DCAF13
,NRD1,GNL3
,NUMA1,ZBTB11
,PARN,UTP20
,RSL24D1,ATAD2
,ESF1,GNL2
,ARID4B,BAZ2B
,PHF2,TNPO2
,ZNF280D,INCENP
,GON4L,RBM12B
,IMP3,NRD1
,BRIX1,NUMA1
,ASH1L,PARN
,DDX24,RSL24D1
,REXO4,ESF1
,CBX8,ARID4B
,ZBED5,PHF2
,KDM5A,ZNF280D
,RBM26,GON4L
,NOC3L,IMP3
,DDX31,BRIX1
,SURF6,ASH1L
,TEAD1,DDX24
,TOP2B,REXO4
,XPC,CBX8
,ZNF112,ZBED5
,SLTM,KDM5A
,EHMT1,RBM26
,ATAD5,NOC3L
,CHD9,DDX31
,HIST1H2BO,SURF6
,ZNF644,TEAD1
,L3MBTL3,TOP2B
,BUD13,XPC
,FAM207A,ZNF112
,DDX18,SLTM
,BAZ1B,EHMT1
,EXO1,ATAD5
,SCAF11,CHD9
,ZMYM3,HIST1H2BO
,RECQL5,ZNF644
,DDX23,L3MBTL3
,CDYL,BUD13
,ZNF592,FAM207A
,PHF14,DDX18
,BMS1,BAZ1B
,RBM19,EXO1
,DCLRE1A,SCAF11
,MED12,ZMYM3
,CUEDC1,RECQL5
,PLD1,DDX23
,EPB41L4B,CDYL
,SHB,ZNF592
,VTI1B,PHF14
,EXOC3,BMS1
,DENND5B,RBM19
,DAPK1,DCLRE1A
,DENND6A,MED12
,FAM219A,CUEDC1
,PSME4,PLD1
,EXOC6B,EPB41L4B
,CDC42EP4,SHB
,ARFIP2,VTI1B
,GOLGA1,EXOC3
,AGFG2,DENND5B
,LAMB2,DAPK1
,UHRF1BP1,DENND6A
,CCDC186,FAM219A
,PI4K2B,PSME4
,TBC1D23,EXOC6B
,PLEKHA3,CDC42EP4
,SPRY4,ARFIP2
,BHLHE40,GOLGA1
,VAMP8,AGFG2
,AP4M1,LAMB2
,RUSC2,UHRF1BP1
,SEC31A,CCDC186
,ARFRP1,PI4K2B
,TLR6,TBC1D23
,TBR1,PLEKHA3
,THSD7A,SPRY4
,PIGN,BHLHE40
,PANX1,VAMP8
,PCDHB5,AP4M1
,SLCO3A1,RUSC2
,CYP4V2,SEC31A
,PI4KB,ARFRP1
,TMEM9B,TLR6
