BioGRID ID Interactor A,BioGRID ID Interactor B,Official Symbol Interactor A,Official Symbol Interactor B,Experimental System
4383858,124876,nsp9,NEK9,Affinity Capture-MS
4383858,124306,nsp9,ZNF503,Affinity Capture-MS
4383858,110981,nsp9,NUP88,Affinity Capture-MS
4383858,115157,nsp9,NUPL1,Affinity Capture-MS
4383858,118166,nsp9,MAT2B,Affinity Capture-MS
4383858,115771,nsp9,FBLN5,Affinity Capture-MS
4383867,111530,ORF10,PPT1,Affinity Capture-MS
4383867,114031,ORF10,CUL2,Affinity Capture-MS
4383867,120825,ORF10,MAP7D1,Affinity Capture-MS
4383867,122595,ORF10,THTPA,Affinity Capture-MS
4383867,122820,ORF10,ZYG11B,Affinity Capture-MS
4383867,117725,ORF10,TIMM8B,Affinity Capture-MS
4383867,115301,ORF10,RBX1,Affinity Capture-MS
4383867,112783,ORF10,TCEB1,Affinity Capture-MS
4383867,112785,ORF10,TCEB2,Affinity Capture-MS
4383868,109405,ORF3a,HMOX1,Affinity Capture-MS
4383868,130421,ORF3a,TRIM59,Affinity Capture-MS
4383868,127351,ORF3a,ARL6IP6,Affinity Capture-MS
4383868,116925,ORF3a,VPS39,Affinity Capture-MS
4383868,116769,ORF3a,CLCC1,Affinity Capture-MS
4383868,120930,ORF3a,VPS11,Affinity Capture-MS
4383868,117312,ORF3a,SUN2,Affinity Capture-MS
4383868,118935,ORF3a,ALG5,Affinity Capture-MS
4383869,119062,ORF3b,STOML2,Affinity Capture-MS
4383870,110982,ORF6,NUP98,Affinity Capture-MS
4383870,114054,ORF6,RAE1,Affinity Capture-MS
4383870,117286,ORF6,MTCH1,Affinity Capture-MS
4383872,120357,ORF7a,HEATR3,Affinity Capture-MS
4383872,116804,ORF7a,MDN1,Affinity Capture-MS
4383873,111367,ORF8,PLOD2,Affinity Capture-MS
4383873,108193,ORF8,TOR1A,Affinity Capture-MS
4383873,114172,ORF8,STC2,Affinity Capture-MS
4383873,111343,ORF8,PLAT,Affinity Capture-MS
4383873,109894,ORF8,ITGB1,Affinity Capture-MS
4383873,129759,ORF8,CISD3,Affinity Capture-MS
4383873,107688,ORF8,COL6A1,Affinity Capture-MS
4383873,111775,ORF8,PVR,Affinity Capture-MS
4383873,108123,ORF8,DNMT1,Affinity Capture-MS
4383873,110199,ORF8,LOX,Affinity Capture-MS
4383873,111083,ORF8,PCSK6,Affinity Capture-MS
4383873,123742,ORF8,INHBE,Affinity Capture-MS
4383873,115828,ORF8,NPC2,Affinity Capture-MS
4383873,110398,ORF8,MFGE8,Affinity Capture-MS
4383873,116156,ORF8,OS9,Affinity Capture-MS
4383873,110944,ORF8,NPTX1,Affinity Capture-MS
4383873,122521,ORF8,KDELC1,Affinity Capture-MS
4383873,126822,ORF8,KDELC2,Affinity Capture-MS
4383873,121155,ORF8,ERO1LB,Affinity Capture-MS
4383873,117173,ORF8,PLD3,Affinity Capture-MS
4383873,123074,ORF8,FOXRED2,Affinity Capture-MS
4383873,122729,ORF8,CHPF,Affinity Capture-MS
4383873,126015,ORF8,PUSL1,Affinity Capture-MS
4383873,116700,ORF8,EMC1,Affinity Capture-MS
4383873,114363,ORF8,GGH,Affinity Capture-MS
4383873,118096,ORF8,ERLEC1,Affinity Capture-MS
4383873,117265,ORF8,IL17RA,Affinity Capture-MS
4383873,120885,ORF8,NGLY1,Affinity Capture-MS
4383873,124671,ORF8,HS6ST2,Affinity Capture-MS
4383873,112289,ORF8,SDF2,Affinity Capture-MS
4383873,110831,ORF8,NEU1,Affinity Capture-MS
4383873,114895,ORF8,GDF15,Affinity Capture-MS
4383873,123181,ORF8,TM2D3,Affinity Capture-MS
4383873,116704,ORF8,ERP44,Affinity Capture-MS
4383873,123207,ORF8,EDEM3,Affinity Capture-MS
4383873,122145,ORF8,SIL1,Affinity Capture-MS
4383873,117056,ORF8,POFUT1,Affinity Capture-MS
4383873,122055,ORF8,SMOC1,Affinity Capture-MS
4383873,122791,ORF8,PLEKHF2,Affinity Capture-MS
4383873,120200,ORF8,FBXL12,Affinity Capture-MS
4383873,120875,ORF8,UGGT2,Affinity Capture-MS
4383873,119984,ORF8,CHPF2,Affinity Capture-MS
4383873,114888,ORF8,ADAMTS1,Affinity Capture-MS
4383873,115780,ORF8,HYOU1,Affinity Capture-MS
4383873,119666,ORF8,FKBP7,Affinity Capture-MS
4383873,114290,ORF8,ADAM9,Affinity Capture-MS
4383873,121955,ORF8,FKBP10,Affinity Capture-MS
4383874,114769,ORF9b,SLC9A3R1,Affinity Capture-MS
4383874,118091,ORF9b,CHMP2A,Affinity Capture-MS
4383874,113583,ORF9b,CSDE1,Affinity Capture-MS
4383874,115201,ORF9b,TOMM70A,Affinity Capture-MS
4383874,110310,ORF9b,MARK3,Affinity Capture-MS
4383874,108326,ORF9b,MARK2,Affinity Capture-MS
4383874,119637,ORF9b,DPH5,Affinity Capture-MS
4383874,122527,ORF9b,DCTPP1,Affinity Capture-MS
4383874,110309,ORF9b,MARK1,Affinity Capture-MS
4383874,121796,ORF9b,PTBP2,Affinity Capture-MS
4383874,114905,ORF9b,BAG5,Affinity Capture-MS
4383875,113702,ORF9c,UBXN8,Affinity Capture-MS
4383875,114271,ORF9c,GPAA1,Affinity Capture-MS
4383875,113304,ORF9c,WFS1,Affinity Capture-MS
4383875,110503,ORF9c,ABCC1,Affinity Capture-MS
4383875,108449,ORF9c,F2RL1,Affinity Capture-MS
4383875,116596,ORF9c,SCAP,Affinity Capture-MS
4383875,116920,ORF9c,DPY19L1,Affinity Capture-MS
4383875,118158,ORF9c,TMEM97,Affinity Capture-MS
4383875,120806,ORF9c,SLC30A6,Affinity Capture-MS
4383875,128412,ORF9c,TAPT1,Affinity Capture-MS
4383875,123025,ORF9c,ERMP1,Affinity Capture-MS
4383875,122796,ORF9c,NLRX1,Affinity Capture-MS
4383875,127817,ORF9c,FAM134C,Affinity Capture-MS
4383875,124223,ORF9c,PIGO,Affinity Capture-MS
4383875,120834,ORF9c,FAR2,Affinity Capture-MS
4383875,119446,ORF9c,ECSIT,Affinity Capture-MS
4383875,122511,ORF9c,ALG8,Affinity Capture-MS
4383875,120425,ORF9c,TMEM39B,Affinity Capture-MS
4383875,117980,ORF9c,GHITM,Affinity Capture-MS
4383875,118799,ORF9c,ACAD9,Affinity Capture-MS
4383875,120074,ORF9c,NDFIP2,Affinity Capture-MS
4383875,107087,ORF9c,BCS1L,Affinity Capture-MS
4383875,119292,ORF9c,NDUFAF1,Affinity Capture-MS
4383875,119207,ORF9c,TMED5,Affinity Capture-MS
4383875,110795,ORF9c,NDUFB9,Affinity Capture-MS
4383875,125082,ORF9c,PIGS,Affinity Capture-MS
121864,4383848,ACE2,S,Co-crystal Structure
121864,121864,ACE2,ACE2,Co-crystal Structure
121864,130985,ACE2,SLC6A19,Co-crystal Structure
121864,130985,ACE2,SLC6A19,Reconstituted Complex
4383848,4383848,S,S,Co-crystal Structure
4383848,121864,S,ACE2,Reconstituted Complex
4383848,121864,S,ACE2,Co-crystal Structure
4383848,4383848,S,S,Reconstituted Complex
4383848,121864,S,ACE2,Reconstituted Complex
4383848,4383848,S,S,Co-crystal Structure
4383915,121864,S,ACE2,Reconstituted Complex
4383938,4383938,ORF1ab,ORF1ab,Co-crystal Structure
1636295,4383915,Ace2,S,Reconstituted Complex
4383915,121864,S,ACE2,Reconstituted Complex
4383915,4383915,S,S,Reconstituted Complex
4383916,4383913,N,M,Two-hybrid
4383915,121864,S,ACE2,Reconstituted Complex
4383915,121864,S,ACE2,Reconstituted Complex
4383914,107070,E,BCL2L1,Reconstituted Complex
4383848,121864,S,ACE2,Reconstituted Complex
4383915,121864,S,ACE2,Reconstituted Complex
4383879,108137,S,DPP4,Reconstituted Complex
4383950,116997,nsp13ab,RYBP,Two-hybrid
4383939,111474,nsp1ab,PPIA,Two-hybrid
4383946,135912,nsp8ab,NOMO3,Two-hybrid
4383939,108570,nsp1ab,FKBP1A,Two-hybrid
4383939,114761,nsp1ab,PPIG,Two-hybrid
4383924,110310,ORF9b,MARK3,Two-hybrid
4383939,115728,nsp1ab,PPIH,Two-hybrid
4383939,116297,nsp1ab,RCAN3,Two-hybrid
4383925,114593,ORF14,HGS,Two-hybrid
4383922,113647,ORF8a,BAG6,Two-hybrid
4383945,117107,nsp7ab,DDAH2,Two-hybrid
4383921,107269,ORF7b,CAMLG,Two-hybrid
4383949,117462,nsp12ab,CHMP2B,Two-hybrid
4383949,126110,nsp12ab,C1orf162,Two-hybrid
4383941,117142,nsp3ab,MKRN2,Two-hybrid
4383949,113029,nsp12ab,TPSAB1,Two-hybrid
4383951,107171,nsp14ab,SERPING1,Two-hybrid
4383941,113479,nsp3ab,MKRN3,Two-hybrid
4383947,117462,nsp9ab,CHMP2B,Two-hybrid
4383924,111656,ORF9b,PSMA2,Two-hybrid
4383947,121332,nsp9ab,RSRP1,Two-hybrid
4383941,121792,nsp3ab,ZNF410,Two-hybrid
4383949,111427,nsp12ab,POLR2B,Two-hybrid
4383940,127838,nsp2ab,DEDD2,Two-hybrid
4383951,115794,nsp14ab,DCTN2,Two-hybrid
4383947,117962,nsp9ab,NPHP3,Two-hybrid
4383949,122201,nsp12ab,TPSB2,Two-hybrid
4383918,115794,ORF3b,DCTN2,Two-hybrid
4383945,122731,nsp7ab,RNF128,Two-hybrid
4383945,113911,nsp7ab,BAP1,Two-hybrid
4383925,107171,ORF14,SERPING1,Two-hybrid
4383945,106874,nsp7ab,ARL4D,Two-hybrid
4383949,120022,nsp12ab,CCHCR1,Two-hybrid
